NewData_1;NewData_2;NewData_3;NewData_4;NewData_5;NewData_6;NewData_7;NewData_8;NewData_9;NewData_10;NewData_11;NewData_12;NewData_13;NewData_14;NewData_15;NewData_16;NewData_17;NewData_18;NewData_19;NewData_20;NewData_21;NewData_22;NewData_23
2;4;63732483738.7564;-0.1581777;0.7630469;-1.227172;0.9712068;0.1383427;0.1864738;-0.05335047;2;2;51;194.8852;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483741.5828;0.0229298;0.7647893;-1.304525;-0.9123207;-0.123199;-0.3834727;0.07376821;5;2;52;197.7111;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483744.834;0.1037764;0.7659605;-1.405701;-0.809643;-0.1039863;-0.5721121;0.07970423;6;2;53;200.9629;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483748.8429;-0.04351898;0.763714;-1.281679;-0.9215829;-0.1342393;-0.3556648;0.07853238;4;2;54;204.9714;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483751.289;-0.1650915;0.7651196;-1.436411;-0.9272714;-0.1430159;-0.3374668;0.07635581;0;2;55;207.4174;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483754.3554;-0.157273;0.7633381;-1.324749;-0.9437156;-0.1364312;-0.2947922;0.0623296;1;2;56;210.4843;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483757.2046;-0.04172947;0.7640492;-1.274625;0.9296426;0.1410546;0.3322096;-0.07419515;4;2;57;213.3332;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483760.4267;0.08747144;0.7663483;-1.40605;0.8275818;0.1171278;0.5376036;-0.1112291;6;2;58;216.5557;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483763.7053;-0.1559575;0.7631615;-1.16947;-0.9688368;-0.1386884;-0.1982253;0.05317624;3;2;59;219.8339;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483767.608;-0.1478692;0.7636156;-1.242195;-0.9599463;-0.143582;-0.2333539;0.05859505;2;2;60;223.7365;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483771.1673;0.03770216;0.7648315;-1.318559;-0.8942079;-0.1290388;-0.420024;0.08556252;5;2;61;227.2962;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483774.3761;-0.1598564;0.7639293;-1.334885;-0.952288;-0.1503308;-0.2581102;0.06266847;1;2;62;230.505;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483777.0251;-0.1698892;0.7651788;-1.421206;-0.9360796;-0.1493992;-0.3107156;0.06993369;0;2;63;233.1533;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483779.2971;-0.165684;0.7637808;-1.342716;-0.9399299;-0.1449177;-0.3012937;0.06894003;1;2;64;235.4251;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483782.0158;-0.1656775;0.7648175;-1.397898;-0.9278402;-0.1429436;-0.3370372;0.07131291;0;2;65;238.1444;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483784.8979;-0.05309153;0.7636811;-1.241816;-0.9472922;-0.1350924;-0.283362;0.06398037;4;2;66;241.0263;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483787.9706;0.03126414;0.7649195;-1.317358;0.8869049;0.1272084;0.4351842;-0.08850168;5;2;67;244.099;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483791.1543;0.1029948;0.7665123;-1.393669;-0.8330204;-0.111207;-0.5341597;0.09156173;6;2;68;247.2827;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483794.158;-0.1547913;0.7635798;-1.246907;-0.9655051;-0.1416027;-0.2117577;0.05391918;2;2;69;250.2867;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483797.2578;-0.1670758;0.7636273;-1.177854;-0.9706382;-0.1476228;-0.1825706;0.05231757;3;2;70;253.3861;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483800.5483;0.09816279;0.7667354;-1.391042;-0.8395258;-0.1151179;-0.5219385;0.09759335;6;2;71;256.6766;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
